Year,Survey,Geography,Population,Commuters,Bicycle commuters
2010,ACS5,US,303965272,139255035,716535
2010,ACS5,AL,4712651,2000289,2118
2010,ACS5,AK,691189,334044,3269
2010,ACS5,AZ,6246816,2699943,22435
2010,ACS5,AR,2872684,1230061,1382
2010,ACS5,CA,36637290,16271905,152260
2010,ACS5,CO,4887061,2429357,29036
2010,ACS5,CT,3545837,1726096,4520
2010,ACS5,DE,881278,412021,1521
2010,ACS5,DC,584400,292979,6557
2010,ACS5,FL,18511620,8165401,48401
2010,ACS5,GA,9468815,4241387,8626
2010,ACS5,HI,1333591,658322,5271
2010,ACS5,ID,1526797,685617,8005
2010,ACS5,IL,12745359,5930230,31856
2010,ACS5,IN,6417398,2932461,11396
2010,ACS5,IA,3016267,1520445,7475
2010,ACS5,KS,2809329,1374765,4827
2010,ACS5,KY,4285828,1839402,3880
2010,ACS5,LA,4429940,1914440,6951
2010,ACS5,ME,1327665,641796,3048
2010,ACS5,MD,5696423,2855936,7618
2010,ACS5,MA,6477096,3188619,21415
2010,ACS5,MI,9952687,4255557,17103
2010,ACS5,MN,5241914,2676172,19422
2010,ACS5,MS,2941991,1197141,1889
2010,ACS5,MO,5922314,2752405,6067
2010,ACS5,MT,973739,468315,6251
2010,ACS5,NE,1799125,923456,4256
2010,ACS5,NV,2633331,1235259,6198
2010,ACS5,NH,1313939,677579,1838
2010,ACS5,NJ,8721577,4122554,13438
2010,ACS5,NM,2013122,874958,5731
2010,ACS5,NY,19229752,8815965,40141
2010,ACS5,NC,9271178,4205946,9992
2010,ACS5,ND,659858,350016,2170
2010,ACS5,OH,11512431,5246423,14498
2010,ACS5,OK,3675339,1655524,3775
2010,ACS5,OR,3761925,1720292,35996
2010,ACS5,PA,12612705,5799572,23565
2010,ACS5,RI,1056389,502098,1910
2010,ACS5,SC,4511428,1989319,5387
2010,ACS5,SD,799462,405497,2179
2010,ACS5,TN,6234968,2753584,3643
2010,ACS5,TX,24311891,10961232,25918
2010,ACS5,UT,2657236,1217129,9164
2010,ACS5,VT,624258,320941,2022
2010,ACS5,VA,7841754,3851989,12334
2010,ACS5,WA,6561297,3093824,25435
2010,ACS5,WV,1840802,744023,1124
2010,ACS5,WI,5637947,2812812,20192
2010,ACS5,WY,545579,279937,3030
2010,ACS5,PR,3762322,1105033,2585
2010,ACS1,US,303965272,139255035,716535
2010,ACS1,AL,4712651,2000289,2118
2010,ACS1,AK,691189,334044,3269
2010,ACS1,AZ,6246816,2699943,22435
2010,ACS1,AR,2872684,1230061,1382
2010,ACS1,CA,36637290,16271905,152260
2010,ACS1,CO,4887061,2429357,29036
2010,ACS1,CT,3545837,1726096,4520
2010,ACS1,DE,881278,412021,1521
2010,ACS1,DC,584400,292979,6557
2010,ACS1,FL,18511620,8165401,48401
2010,ACS1,GA,9468815,4241387,8626
2010,ACS1,HI,1333591,658322,5271
2010,ACS1,ID,1526797,685617,8005
2010,ACS1,IL,12745359,5930230,31856
