,state,year,state_abbv,TEMP_F,bike_deaths,vmt,Survey,Population,Commuters,Bicycle commuters
0,Alabama,2010,AL,68.3833333333,6,56273.0,ACS5,4712651,2000289,2118
1,Alabama,2011,AL,75.68,5,63149.0,ACS5,4747424,1995834,2473
2,Alabama,2012,AL,63.425,9,64886.0,ACS5,4777326,1988366,2552
3,Alabama,2013,AL,71.9833333333,6,64945.0,ACS5,4799277,1973623,2357
4,Alabama,2014,AL,-1181.5875,9,66241.0,ACS5,4817678,1983227,2490
5,Alabama,2015,AL,70.1555555556,9,62185.0,ACS5,4830620,1995472,2453
6,Alaska,2011,AK,48.5,2,4723.0,ACS5,700703,339490,3353
7,Alaska,2012,AK,57.2,1,4583.0,ACS5,711139,345577,3416
8,Alaska,2013,AK,53.6,1,4589.0,ACS5,720316,348457,3567
9,Alaska,2014,AK,61.0,3,4890.0,ACS5,728300,353493,3658
10,Arizona,2010,AZ,74.2058823529,19,61720.0,ACS5,6246816,2699943,22435
11,Arizona,2011,AZ,76.0380952381,23,58959.0,ACS5,6337373,2695734,23895
12,Arizona,2012,AZ,77.55,18,59666.0,ACS5,6410979,2694999,24687
13,Arizona,2013,AZ,75.8379310345,31,60027.0,ACS5,6479703,2684408,25118
14,Arizona,2014,AZ,78.6434782609,29,61529.0,ACS5,6561516,2720076,26629
15,Arizona,2015,AZ,75.2238095238,29,59225.0,ACS5,6641928,2777754,27816
16,Arkansas,2010,AR,79.5,2,33540.0,ACS5,2872684,1230061,1382
17,Arkansas,2011,AR,80.8666666667,6,32578.0,ACS5,2895928,1229750,1459
18,Arkansas,2012,AR,68.18,6,32842.0,ACS5,2916372,1232938,1330
19,Arkansas,2013,AR,67.875,4,32536.0,ACS5,2933369,1225869,1504
20,Arkansas,2014,AR,73.1666666667,7,33723.0,ACS5,2947036,1232572,1653
21,Arkansas,2015,AR,75.4333333333,3,32388.0,ACS5,2958208,1236999,1847
22,California,2010,CA,65.6195652174,102,323272.0,ACS5,36637290,16271905,152260
23,California,2011,CA,-27.1309090909,114,319941.0,ACS5,36969200,16251032,161165
24,California,2012,CA,-15.4845528455,131,318777.0,ACS5,37325068,16282943,169860
25,California,2013,CA,66.1904411765,146,322495.0,ACS5,37659181,16290887,174748
26,California,2014,CA,-16.2237704918,130,336442.0,ACS5,38066920,16529777,182718
27,California,2015,CA,-13.6170731707,126,317261.0,ACS5,38421464,16869052,188736
