auto_braking,make,model,model joinable,warning,year,MAKE,MODEL,MAK_MOD,BODY_TYP,MOD_YEAR
Optional,Acura,ILX 4dr,Acura ILX,Optional,2016,54,41,54041,4,2016
Optional,Acura,MDX 4dr,Acura MDX,Optional,2016,54,421,54421,15,2004
Optional,Acura,MDX 4dr 4WD,Acura MDX,Optional,2016,54,421,54421,15,2004
Optional,Acura,RDX 4dr,Acura RDX,Optional,2016,54,402,54402,14,2015
Optional,Acura,RDX 4dr 4WD,Acura RDX,Optional,2016,54,402,54402,14,2015
Optional,Acura,RLX 4dr,Acura RLX,Standard,2016,54,36,54036,4,2014
Standard,Acura,RLX Sport hybrid 4dr 4WD,Acura RLX,Standard,2016,54,36,54036,4,2014
Optional,Acura,TLX 4dr,Acura TLX,Optional,2016,54,44,54044,4,2015
Optional,Acura,TLX 4dr 4WD,Acura TLX,Standard,2016,54,44,54044,4,2015
Optional,Audi,A3 4dr,Audi A3,Optional,2016,32,48,32048,5,2015
Optional,Audi,A3 4dr 4WD,Audi A3,Optional,2016,32,48,32048,5,2015
Optional,Audi,A3 convertible,Audi A3,Optional,2016,32,48,32048,5,2015
Optional,Audi,A3 convertible 4WD,Audi A3,Optional,2016,32,48,32048,5,2015
Optional,Audi,A3 plug-in hybrid station wagon,Audi A3,Optional,2016,32,48,32048,5,2015
Optional,Audi,A4 4dr,Audi A4,Optional,2016,32,43,32043,4,2012
Optional,Audi,A4 4dr 4WD,Audi A4,Optional,2016,32,43,32043,4,2012
Not available,Audi,A4 Allroad station wagon 4WD,Audi A4,Not available,2016,32,43,32043,4,2012
Optional,Audi,A5 2dr 4WD,Audi A5,Optional,2016,32,49,32049,2,2014
Optional,Audi,A5 convertible 4WD,Audi A5,Optional,2016,32,49,32049,2,2014
Optional,Audi,A6 4dr,Audi A6,Optional,2016,32,42,32042,4,2003
Optional,Audi,A6 4dr 4WD,Audi A6,Optional,2016,32,42,32042,4,2003
Optional,Audi,A7 4dr 4WD,Audi A7,Optional,2016,32,51,32051,4,2013
Optional,Audi,A8L 4dr 4WD,Audi A8L,Optional,2016,,,,,
Not available,Audi,Q3 4dr,Audi Q3,Not available,2016,,,,,
Not available,Audi,Q3 4dr 4WD,Audi Q3,Not available,2016,,,,,
Optional,Audi,Q5 4dr 4WD,Audi Q5,Optional,2016,32,402,32402,14,2012
Not available,Audi,Q5 hybrid 4dr 4WD,Audi Q5,Not available,2016,32,402,32402,14,2012
Optional,Audi,RS7 4dr 4WD,Audi RS7,Optional,2016,32,58,32058,5,2014
Optional,Audi,S3 4dr 4WD,Audi S3,Optional,2016,32,59,32059,5,2015
Optional,Audi,S4 4dr 4WD,Audi S4,Optional,2016,32,40,32040,1,2006
Optional,Audi,S5 2dr 4WD,Audi S5,Optional,2016,32,52,32052,2,2012
Optional,Audi,S5 convertible 4WD,Audi S5,Optional,2016,32,52,32052,2,2012
Optional,Audi,S6 4dr 4WD,Audi S6,Optional,2016,32,46,32046,4,2007
Optional,Audi,S7 4dr 4WD,Audi S7,Optional,2016,,,,,
Optional,Audi,S8 4dr 4WD,Audi S8,Optional,2016,,,,,
