auto_braking,make,model,warning,year
Optional,Acura,ILX 4dr,Optional,2016
Optional,Acura,MDX 4dr,Optional,2016
Optional,Acura,MDX 4dr 4WD,Optional,2016
Optional,Acura,RDX 4dr,Optional,2016
Optional,Acura,RDX 4dr 4WD,Optional,2016
Optional,Acura,RLX 4dr,Standard,2016
Standard,Acura,RLX Sport hybrid 4dr 4WD,Standard,2016
Optional,Acura,TLX 4dr,Optional,2016
Optional,Acura,TLX 4dr 4WD,Standard,2016
Optional,Audi,A3 4dr,Optional,2016
Optional,Audi,A3 4dr 4WD,Optional,2016
Optional,Audi,A3 convertible,Optional,2016
Optional,Audi,A3 convertible 4WD,Optional,2016
Optional,Audi,A3 plug-in hybrid station wagon,Optional,2016
Optional,Audi,A4 4dr,Optional,2016
Optional,Audi,A4 4dr 4WD,Optional,2016
Not available,Audi,A4 Allroad station wagon 4WD,Not available,2016
Optional,Audi,A5 2dr 4WD,Optional,2016
Optional,Audi,A5 convertible 4WD,Optional,2016
Optional,Audi,A6 4dr,Optional,2016
Optional,Audi,A6 4dr 4WD,Optional,2016
Optional,Audi,A7 4dr 4WD,Optional,2016
Optional,Audi,A8L 4dr 4WD,Optional,2016
Not available,Audi,Q3 4dr,Not available,2016
Not available,Audi,Q3 4dr 4WD,Not available,2016
Optional,Audi,Q5 4dr 4WD,Optional,2016
Not available,Audi,Q5 hybrid 4dr 4WD,Not available,2016
Optional,Audi,RS7 4dr 4WD,Optional,2016
Optional,Audi,S3 4dr 4WD,Optional,2016
Optional,Audi,S4 4dr 4WD,Optional,2016
Optional,Audi,S5 2dr 4WD,Optional,2016
Optional,Audi,S5 convertible 4WD,Optional,2016
Optional,Audi,S6 4dr 4WD,Optional,2016
Optional,Audi,S7 4dr 4WD,Optional,2016
Optional,Audi,S8 4dr 4WD,Optional,2016
Optional,Audi,SQ5 4dr 4WD,Optional,2016
Not available,Audi,TT 2dr 4WD,Not available,2016
Not available,Audi,TT convertible 4WD,Not available,2016
Not available,Audi,TTS 2dr 4WD,Not available,2016
Not available,Bentley,Mulsanne 4dr,Optional,2016
