YEAR,STATE,Postal code,VMT,VMT (B),YEAR_STATE,Total deaths,Deaths per BVMT,Deaths involving drivers under 16,Deaths involving drivers under 16 per BVMT,Deaths involving drivers between 25 & 44,Deaths involving drivers between 25 & 44 per BVMT,Multi-vehicle deaths,Multi-vehicle deaths per BVMT,Bicyclist deaths,Bicyclist deaths per BVMT
2009,1,AL,59409,59.409,2009-1,848,14.273931559191368,7,0.11782726522917403,393,6.615159319295056,356,5.992358060226565,6,0.10099479876786345
2009,2,AK,4935,4.935,2009-2,64,12.968591691995949,0,0,34,6.889564336372848,26,5.268490374873354,2,0.4052684903748734
2009,4,AZ,61111,61.111,2009-4,806,13.1891148892998,4,0.0654546644630263,371,6.070920128945689,307,5.023645497537268,25,0.40909165289391436
2009,5,AR,33973,33.973,2009-5,596,17.54334324316369,7,0.20604597768816413,296,8.712801342242368,265,7.800312012480499,5,0.14717569834868868
2009,6,CA,327432,327.432,2009-6,3090,9.437073957340761,10,0.030540692418578513,1445,4.413130054484595,1312,4.006938845317501,99,0.3023528549439273
2009,8,CO,47649,47.649,2009-8,465,9.758861676005791,2,0.04197359860647652,223,4.680056244622133,200,4.197359860647652,10,0.20986799303238263
2009,9,CT,31581,31.581,2009-9,224,7.092872296634052,1,0.03166460846711631,114,3.609765365251259,85,2.691491719704886,1,0.03166460846711631
2009,10,DE,9124,9.124,2009-10,116,12.713722051731695,0,0,54,5.918456817185445,59,6.466462078035949,6,0.6576063130206049
2009,11,DC,3556,3.556,2009-11,29,8.155230596175478,0,0,21,5.905511811023622,10,2.81214848143982,0,0
2009,12,FL,197357,197.357,2009-12,2560,12.971417279346564,15,0.07600439812117128,1185,6.004347451572531,1065,5.396312266603161,107,0.5421647065976885
2009,13,GA,108171,108.171,2009-13,1292,11.944051548011943,5,0.04622310970592857,670,6.193896700594429,596,5.509794676946686,21,0.1941370607649
2009,15,HI,10217,10.217,2009-15,109,10.668493686992267,1,0.09787608887148869,52,5.089556621317412,40,3.9150435548595475,3,0.29362826661446606
2009,16,ID,15440,15.44,2009-16,226,14.637305699481866,6,0.38860103626943004,98,6.347150259067358,90,5.829015544041451,7,0.4533678756476684
2009,17,IL,105543,105.543,2009-17,911,8.63155301630615,3,0.02842443364315966,457,4.329988724974655,443,4.197341367973243,19,0.18002141307334452
2009,18,IN,71116,71.116,2009-18,693,9.744642555824287,4,0.056246133078350864,335,4.710613645311885,325,4.569998312616008,7,0.09843073288711401
2009,19,IA,31041,31.041,2009-19,371,11.951934538191423,12,0.3865854837150865,177,5.702135884797526,175,5.637704970845012,2,0.06443091395251442
2009,20,KS,30144,30.144,2009-20,386,12.805201698513802,5,0.16587048832271764,164,5.440552016985138,167,5.540074309978769,5,0.16587048832271764
2009,21,KY,47755,47.755,2009-21,791,16.563710606219242,4,0.08376086273688618,395,8.271385195267511,378,7.915401528635744,5,0.10470107842110773
2009,22,LA,45728,45.728,2009-22,824,18.019594121763472,9,0.19681595521343595,404,8.834849545136459,335,7.3259272218334495,13,0.28428971308607415
2009,23,ME,14653,14.653,2009-23,159,10.851020268886916,0,0,76,5.186651197706954,76,5.186651197706954,0,0
2009,24,MD,55166,55.166,2009-24,549,9.951781894645253,0,0,250,4.5317768190552155,236,4.277997317188123,10,0.1812710727622086
2009,25,MA,55180,55.18,2009-25,340,6.161652772743747,2,0.03624501631025734,137,2.4827836172526276,137,2.4827836172526276,6,0.10873504893077202
2009,26,MI,100994,100.994,2009-26,872,8.63417628770026,5,0.04950789155791433,402,3.9804344812563124,437,4.326989722161713,19,0.18812998792007446
2009,27,MN,57435,57.435,2009-27,421,7.330025245930182,1,0.017410986332375727,193,3.3603203621485154,208,3.6214851571341513,10,0.17410986332375727
2009,28,MS,44266,44.266,2009-28,700,15.813491167035648,14,0.31626982334071296,333,7.52270365517553,245,5.534721908462477,10,0.22590701667193783
2009,29,MO,69529,69.529,2009-29,878,12.627824361057977,6,0.08629492729652376,395,5.681082713687814,396,5.695465201570568,2,0.02876497576550792
2009,30,MT,11035,11.035,2009-30,221,20.02718622564567,3,0.27186225645672857,96,8.699592206615314,74,6.705935659265972,1,0.09062075215224286
2009,31,NE,19490,19.49,2009-31,223,11.441765007696256,10,0.5130836326321191,100,5.130836326321191,116,5.951770138532582,3,0.15392508978963573
2009,32,NV,20270,20.27,2009-32,243,11.988159842131228,1,0.0493339911198816,112,5.5254070054267395,98,4.834731129748397,6,0.2960039467192896
2009,33,NH,13145,13.145,2009-33,110,8.368200836820083,0,0,33,2.510460251046025,52,3.9558767592240396,1,0.07607455306200077
2009,34,NJ,73569,73.569,2009-34,584,7.938126112900814,0,0,268,3.642838695646264,254,3.4525411518438474,13,0.17670486210224415
2009,35,NM,26289,26.289,2009-35,361,13.731979154779564,1,0.03803872342044201,171,6.504621704895583,148,5.629731066225417,3,0.11411617026132602
2009,36,NY,134455,134.455,2009-36,1158,8.612546948793275,2,0.014874865196534155,521,3.8749023836971475,495,3.6815291361422036,29,0.21568554534974524
2009,37,NC,101764,101.764,2009-37,1313,12.90240163515585,8,0.07861326205730908,595,5.846861365512362,576,5.660154868126253,16,0.15722652411461815
2009,38,ND,8177,8.177,2009-38,140,17.12119359178183,1,0.12229423994129877,56,6.848477436712731,64,7.8268313562431215,1,0.12229423994129877
2009,39,OH,107925,107.925,2009-39,1022,9.469539031735001,3,0.02779708130646282,487,4.512392865415798,481,4.456798702802873,19,0.1760481816075979
2009,40,OK,48092,48.092,2009-40,737,15.324794144556268,6,0.12476087498960327,357,7.423272061881394,320,6.653913332778841,11,0.22872827081427266
2009,41,OR,34057,34.057,2009-41,377,11.069677305693396,1,0.029362539272396276,162,4.756731362128196,149,4.375018351587045,8,0.2349003141791702
2009,42,PA,107008,107.008,2009-42,1256,11.73744019138756,2,0.01869019138755981,543,5.074386961722488,616,5.756578947368421,15,0.14017643540669858
2009,44,RI,8300,8.3,2009-44,83,10,0,0,29,3.4939759036144573,30,3.614457831325301,0,0
2009,45,SC,49649,49.649,2009-45,894,18.00640496283913,3,0.06042417772764809,418,8.419102096718968,343,6.908497653527765,11,0.22155531833470965
2009,46,SD,9203,9.203,2009-46,131,14.234488753667284,2,0.21732043898728676,56,6.084972291644029,42,4.563729218733022,0,0
2009,47,TN,69621,69.621,2009-47,986,14.16239353068758,6,0.08618089369586764,450,6.463567027190073,382,5.486850231970239,9,0.12927134054380146
2009,48,TX,237440,237.44,2009-48,3104,13.07277628032345,22,0.09265498652291106,1581,6.6585242587601075,1403,5.908861185983827,48,0.20215633423180593
2009,49,UT,25835,25.835,2009-49,244,9.444551964389394,2,0.0774143603638475,114,4.412618540739307,106,4.102961099283917,5,0.19353590090961872
2009,50,VT,7327,7.327,2009-50,74,10.099631499931759,0,0,27,3.6850006824075336,33,4.503889722942541,0,0
2009,51,VA,82210,82.21,2009-51,758,9.220289502493614,0,0,314,3.8194866804525,291,3.539715363094514,11,0.13380367351903663
