Year,State,Population,Commuters,Bicycle commuters,VMT,No. deaths,Deaths per B miles
2010,AL,4712651,2000289,2118,56273,862,1.5318181010431289
2010,AK,691189,334044,3269,5047,56,1.1095700416088765
2010,AZ,6246816,2699943,22435,61720,759,1.229747245625405
2010,AR,2872684,1230061,1382,33540,571,1.7024448419797258
2010,CA,36637290,16271905,152260,323272,2720,0.8413967185527976
2010,CO,4887061,2429357,29036,47143,450,0.9545425619922363
2010,CT,3545837,1726096,4520,32032,320,0.999000999000999
2010,DE,881278,412021,1521,9178,101,1.1004576160383526
2010,FL,18511620,8165401,48401,194321,2444,1.2577127536395962
2010,GA,9468815,4241387,8626,108958,1247,1.1444776886506727
2010,HI,1333591,658322,5271,9868,113,1.1451155249290637
2010,ID,1526797,685617,8005,15585,209,1.341033044594161
2010,IL,12745359,5930230,31856,107731,927,0.8604765573511802
2010,IN,6417398,2932461,11396,78638,754,0.9588239782293548
2010,IA,3016267,1520445,7475,31472,390,1.2391967463141842
2010,KS,2809329,1374765,4827,29812,431,1.4457265530658796
2010,KY,4285828,1839402,3880,47477,760,1.600775112159572
2010,LA,4429940,1914440,6951,43956,721,1.6402766402766402
2010,ME,1327665,641796,3048,14623,161,1.1010052656773577
2010,MD,5696423,2855936,7618,55677,496,0.890852596224653
2010,MA,6477096,3188619,21415,55689,347,0.6231033058593259
2010,MI,9952687,4255557,17103,97625,942,0.9649167733674776
2010,MN,5241914,2676172,19422,57302,411,0.7172524519213989
2010,MS,2941991,1197141,1889,41197,641,1.5559385392140204
2010,MO,5922314,2752405,6067,68863,821,1.1922222383573182
2010,MT,973739,468315,6251,11221,189,1.6843418590143482
2010,NE,1799125,923456,4256,20055,190,0.9473946646721515
2010,NV,2633331,1235259,6198,20280,257,1.267258382642998
2010,NH,1313939,677579,1838,13102,128,0.976950083956648
2010,NJ,8721577,4122554,13438,73523,556,0.7562259429022211
2010,NM,2013122,874958,5731,26323,349,1.3258367207385178
2010,NY,19229752,8815965,40141,134445,1201,0.8933020937930007
2010,NC,9271178,4205946,9992,129242,1320,1.021339812135374
2010,ND,659858,350016,2170,8657,105,1.212891301836664
2010,OH,11512431,5246423,14498,111453,1080,0.9690183305967538
2010,OK,3675339,1655524,3775,48052,668,1.3901606592857738
2010,OR,3761925,1720292,35996,34172,317,0.9276600725740372
2010,PA,12612705,5799572,23565,104395,1324,1.2682599741366924
2010,RI,1056389,502098,1910,8305,67,0.806742925948224
2010,SC,4511428,1989319,5387,49483,809,1.634904916840127
2010,SD,799462,405497,2179,9871,140,1.4182960186404618
2010,TN,6234968,2753584,3643,70929,1032,1.4549761028634267
2010,TX,24311891,10961232,25918,233876,3023,1.2925652910089107
2010,UT,2657236,1217129,9164,26377,253,0.9591689729688744
2010,VT,624258,320941,2022,7780,71,0.9125964010282777
2010,VA,7841754,3851989,12334,81309,740,0.9101083520889447
2010,WA,6561297,3093824,25435,56970,460,0.8074425136036509
2010,WV,1840802,744023,1124,19300,315,1.6321243523316062
2010,WI,5637947,2812812,20192,59016,572,0.9692286837467805
2010,WY,545579,279937,3030,9677,155,1.6017360752299266
2011,AL,4747424,1995834,2473,63149,895,1.4172829340132067
2011,AK,700703,339490,3353,4723,72,1.5244547956807113
2011,AZ,6337373,2695734,23895,58959,826,1.4009735578961653
2011,AR,2895928,1229750,1459,32578,551,1.6913254343421942
2011,CA,36969200,16251032,161165,319941,2816,0.8801622799203603
2011,CO,4966061,2455116,30647,46124,447,0.9691267019339173
2011,CT,3558172,1728715,4541,30707,221,0.7197056045852737
2011,DE,890856,413958,1425,8928,99,1.1088709677419355
2011,FL,18688787,8127157,49217,193024,2400,1.243368700265252
2011,GA,9600612,4239802,8935,109726,1226,1.117328618558956
2011,HI,1346554,658272,5435,10016,100,0.998402555910543
2011,ID,1549987,687770,8307,15567,167,1.0727821674054088
2011,IL,12790182,5921968,33134,105200,918,0.8726235741444867
2011,IN,6454254,2923957,12316,75690,751,0.9922050469018364
2011,IA,3032266,1524370,7274,31111,360,1.1571469898106779
2011,KS,2830985,1381297,5083,28797,386,1.340417404590756
2011,KY,4316040,1836432,4206,47620,720,1.5119697606047877
2011,LA,4484596,1939748,7404,43830,680,1.5514487793748575
2011,ME,1328543,639503,3058,14247,136,0.9545869305818768
2011,MD,5736545,2868084,7522,55970,485,0.8665356440950509
2011,MA,6512227,3202521,21938,53110,374,0.7041988326115609
2011,MI,9920621,4201510,18195,95739,889,0.928566206039336
2011,MN,5278190,2684619,19706,56893,368,0.6468282565517726
2011,MS,2956700,1193495,1520,39271,630,1.6042372233963993
2011,MO,5955802,2751055,6110,68557,786,1.1464912408652654
2011,MT,982854,468895,6138,11249,209,1.8579429282602897
2011,NE,1813061,928606,4260,19323,181,0.936707550587383
2011,NV,2673396,1230308,5831,21040,246,1.1692015209125475
2011,NH,1315911,678368,1904,12760,90,0.7053291536050157
2011,NJ,8753064,4121378,13081,71829,627,0.8729064862381489
2011,NM,2037136,875392,6097,24815,350,1.4104372355430184
2011,NY,19302448,8837690,42047,129542,1171,0.9039539299995368
2011,NC,9418736,4221511,9732,101284,1230,1.2144070139409977
2011,ND,666783,356704,2117,8489,148,1.7434326775827542
2011,OH,11525536,5213225,15444,110873,1017,0.9172657003959485
2011,OK,3714520,1668821,3914,46624,696,1.4927934111187373
2011,OR,3801991,1713340,37747,33159,331,0.9982206942308272
2011,PA,12660739,5806520,24107,100327,1286,1.2818084862499626
2011,RI,1053959,500821,1858,8130,66,0.8118081180811807
2011,SC,4575864,1988734,5608,48405,828,1.7105670901766346
2011,SD,807697,409213,2109,8624,111,1.2871057513914657
2011,TN,6297991,2759886,3808,69433,937,1.3495023979951897
2011,TX,24774187,11144461,27642,232157,3054,1.3154890871263842
2011,UT,2715379,1234094,9400,26431,243,0.9193749763535243
2011,VT,624958,319745,2199,7119,55,0.7725804185981177
2011,VA,7926192,3877505,13234,81482,764,0.9376303968974743
2011,WA,6652845,3109613,26310,56060,454,0.8098465929361398
