state,vmt,year,month,file
Connecticut,184.0,2010,5,11maytvt.xls
Maine,515.0,2010,5,11maytvt.xls
Massachusetts,235.0,2010,5,11maytvt.xls
New Hampshire,301.0,2010,5,11maytvt.xls
New Jersey,357.0,2010,5,11maytvt.xls
New York,1340.0,2010,5,11maytvt.xls
Pennsylvania,2169.0,2010,5,11maytvt.xls
Rhode Island,58.0,2010,5,11maytvt.xls
Vermont,252.0,2010,5,11maytvt.xls
South Atlantic,,2010,5,11maytvt.xls
Delaware,157.0,2010,5,11maytvt.xls
District of Columbia,0.0,2010,5,11maytvt.xls
Florida,1968.0,2010,5,11maytvt.xls
Georgia,1946.0,2010,5,11maytvt.xls
Maryland,836.0,2010,5,11maytvt.xls
North Carolina,1695.0,2010,5,11maytvt.xls
South Carolina,1451.0,2010,5,11maytvt.xls
Virginia,1880.0,2010,5,11maytvt.xls
West Virginia,427.0,2010,5,11maytvt.xls
North Central,,2010,5,11maytvt.xls
Illinois,1570.0,2010,5,11maytvt.xls
Indiana,1410.0,2010,5,11maytvt.xls
Iowa,1189.0,2010,5,11maytvt.xls
Kansas,889.0,2010,5,11maytvt.xls
Michigan,1719.0,2010,5,11maytvt.xls
Minnesota,1475.0,2010,5,11maytvt.xls
Missouri,1654.0,2010,5,11maytvt.xls
Nebraska,785.0,2010,5,11maytvt.xls
North Dakota,368.0,2010,5,11maytvt.xls
Ohio,1786.0,2010,5,11maytvt.xls
South Dakota,414.0,2010,5,11maytvt.xls
Wisconsin,1828.0,2010,5,11maytvt.xls
Alabama,1504.0,2010,5,11maytvt.xls
Arkansas,1036.0,2010,5,11maytvt.xls
Kentucky,1516.0,2010,5,11maytvt.xls
Louisiana,978.0,2010,5,11maytvt.xls
Mississippi,1144.0,2010,5,11maytvt.xls
Oklahoma,1138.0,2010,5,11maytvt.xls
Tennessee,1692.0,2010,5,11maytvt.xls
Texas,3994.0,2010,5,11maytvt.xls
Alaska,129.0,2010,5,11maytvt.xls
Arizona,1022.0,2010,5,11maytvt.xls
California,3810.0,2010,5,11maytvt.xls
Colorado,903.0,2010,5,11maytvt.xls
Hawaii,88.0,2010,5,11maytvt.xls
Idaho,470.0,2010,5,11maytvt.xls
Montana,489.0,2010,5,11maytvt.xls
Nevada,350.0,2010,5,11maytvt.xls
New Mexico,772.0,2010,5,11maytvt.xls
Oregon,933.0,2010,5,11maytvt.xls
Utah,503.0,2010,5,11maytvt.xls
Washington,927.0,2010,5,11maytvt.xls
Wyoming,423.0,2010,5,11maytvt.xls
Connecticut,204.0,2010,7,11jultvt.xls
Maine,567.0,2010,7,11jultvt.xls
Massachusetts,278.0,2010,7,11jultvt.xls
New Hampshire,374.0,2010,7,11jultvt.xls
New Jersey,395.0,2010,7,11jultvt.xls
New York,1527.0,2010,7,11jultvt.xls
Pennsylvania,2348.0,2010,7,11jultvt.xls
Rhode Island,67.0,2010,7,11jultvt.xls
Vermont,301.0,2010,7,11jultvt.xls
South Atlantic,,2010,7,11jultvt.xls
Delaware,174.0,2010,7,11jultvt.xls
District of Columbia,0.0,2010,7,11jultvt.xls
Florida,2025.0,2010,7,11jultvt.xls
Georgia,2131.0,2010,7,11jultvt.xls
Maryland,904.0,2010,7,11jultvt.xls
North Carolina,1825.0,2010,7,11jultvt.xls
South Carolina,1598.0,2010,7,11jultvt.xls
Virginia,2010.0,2010,7,11jultvt.xls
West Virginia,678.0,2010,7,11jultvt.xls
North Central,,2010,7,11jultvt.xls
Illinois,1702.0,2010,7,11jultvt.xls
Indiana,1481.0,2010,7,11jultvt.xls
Iowa,1275.0,2010,7,11jultvt.xls
Kansas,911.0,2010,7,11jultvt.xls
Michigan,1941.0,2010,7,11jultvt.xls
Minnesota,1563.0,2010,7,11jultvt.xls
Missouri,1929.0,2010,7,11jultvt.xls
Nebraska,838.0,2010,7,11jultvt.xls
North Dakota,444.0,2010,7,11jultvt.xls
Ohio,1894.0,2010,7,11jultvt.xls
South Dakota,516.0,2010,7,11jultvt.xls
Wisconsin,1913.0,2010,7,11jultvt.xls
Alabama,1571.0,2010,7,11jultvt.xls
Arkansas,1160.0,2010,7,11jultvt.xls
Kentucky,1291.0,2010,7,11jultvt.xls
Louisiana,1050.0,2010,7,11jultvt.xls
Mississippi,1205.0,2010,7,11jultvt.xls
Oklahoma,1270.0,2010,7,11jultvt.xls
Tennessee,1887.0,2010,7,11jultvt.xls
Texas,4214.0,2010,7,11jultvt.xls
Alaska,153.0,2010,7,11jultvt.xls
Arizona,1048.0,2010,7,11jultvt.xls
California,4181.0,2010,7,11jultvt.xls
Colorado,1057.0,2010,7,11jultvt.xls
Hawaii,113.0,2010,7,11jultvt.xls
Idaho,582.0,2010,7,11jultvt.xls
Montana,721.0,2010,7,11jultvt.xls
Nevada,416.0,2010,7,11jultvt.xls
New Mexico,864.0,2010,7,11jultvt.xls
Oregon,1112.0,2010,7,11jultvt.xls
Utah,597.0,2010,7,11jultvt.xls
Washington,1094.0,2010,7,11jultvt.xls
Wyoming,561.0,2010,7,11jultvt.xls
Connecticut,133.0,2015,4,16aprtvt.xls
Maine,484.0,2015,4,16aprtvt.xls
Massachusetts,128.0,2015,4,16aprtvt.xls
New Hampshire,261.0,2015,4,16aprtvt.xls
New Jersey,270.0,2015,4,16aprtvt.xls
New York,1073.0,2015,4,16aprtvt.xls
Pennsylvania,2036.0,2015,4,16aprtvt.xls
Rhode Island,52.0,2015,4,16aprtvt.xls
Vermont,217.0,2015,4,16aprtvt.xls
South Atlantic,,2015,4,16aprtvt.xls
Delaware,133.0,2015,4,16aprtvt.xls
District of Columbia,0.0,2015,4,16aprtvt.xls
Florida,1928.0,2015,4,16aprtvt.xls
Georgia,1609.0,2015,4,16aprtvt.xls
Maryland,509.0,2015,4,16aprtvt.xls
North Carolina,1595.0,2015,4,16aprtvt.xls
South Carolina,1343.0,2015,4,16aprtvt.xls
Virginia,1856.0,2015,4,16aprtvt.xls
West Virginia,683.0,2015,4,16aprtvt.xls
North Central,,2015,4,16aprtvt.xls
Illinois,1389.0,2015,4,16aprtvt.xls
Indiana,1459.0,2015,4,16aprtvt.xls
Iowa,1115.0,2015,4,16aprtvt.xls
Kansas,858.0,2015,4,16aprtvt.xls
Michigan,1511.0,2015,4,16aprtvt.xls
Minnesota,1335.0,2015,4,16aprtvt.xls
Missouri,1497.0,2015,4,16aprtvt.xls
Nebraska,734.0,2015,4,16aprtvt.xls
North Dakota,509.0,2015,4,16aprtvt.xls
Ohio,1600.0,2015,4,16aprtvt.xls
